date,views,title
2019-03-09,4307,Chess
2019-03-10,4632,Chess
2019-03-11,4631,Chess
2019-03-12,4544,Chess
2019-03-13,5124,Chess
2019-03-14,4566,Chess
2019-03-15,4616,Chess
2019-03-16,4180,Chess
2019-03-17,4950,Chess
2019-03-18,4782,Chess
2019-03-19,5628,Chess
2019-03-20,4498,Chess
2019-03-21,4486,Chess
2019-03-22,4699,Chess
2019-03-23,4338,Chess
2019-03-24,4715,Chess
2019-03-25,4588,Chess
2019-03-26,4292,Chess
2019-03-27,4603,Chess
2019-03-28,4721,Chess
2019-03-29,4015,Chess
2019-03-30,3933,Chess
2019-03-31,4121,Chess
2019-04-01,4194,Chess
2019-04-02,4388,Chess
2019-04-03,5208,Chess
2019-04-04,4241,Chess
2019-04-05,4026,Chess
2019-04-06,4291,Chess
2019-04-07,4241,Chess
2019-04-08,4243,Chess
2019-04-09,4280,Chess
2019-04-10,4285,Chess
2019-04-11,4174,Chess
2019-04-12,4063,Chess
2019-04-13,3940,Chess
2019-04-14,4216,Chess
2019-04-15,4132,Chess
2019-04-16,4136,Chess
2019-04-17,3928,Chess
2019-04-18,3850,Chess
2019-04-19,3791,Chess
2019-04-20,3900,Chess
2019-04-21,4307,Chess
2019-04-22,4304,Chess
2019-04-23,4243,Chess
2019-04-24,4048,Chess
2019-04-25,3836,Chess
2019-04-26,3841,Chess
2019-04-27,3915,Chess
2019-04-28,3894,Chess
2019-04-29,3910,Chess
2019-04-30,4074,Chess
2019-05-01,4276,Chess
2019-05-02,3886,Chess
2019-05-03,3883,Chess
2019-05-04,3862,Chess
2019-05-05,3486,Chess
2019-05-06,3912,Chess
2019-05-07,3755,Chess
2019-05-08,3840,Chess
2019-05-09,3868,Chess
2019-05-10,3619,Chess
2019-05-11,3778,Chess
2019-05-12,3505,Chess
2019-05-13,3742,Chess
2019-05-14,3827,Chess
2019-05-15,3651,Chess
2019-05-16,3733,Chess
2019-05-17,3473,Chess
2019-05-18,3501,Chess
2019-05-19,3697,Chess
2019-05-20,3638,Chess
2019-05-21,3822,Chess
2019-05-22,3898,Chess
2019-05-23,3474,Chess
2019-05-24,3523,Chess
2019-05-25,3787,Chess
2019-05-26,3759,Chess
2019-05-27,4061,Chess
2019-05-28,3948,Chess
2019-05-29,3733,Chess
2019-05-30,3874,Chess
2019-05-31,3564,Chess
2019-06-01,3796,Chess
2019-06-02,3831,Chess
2019-06-03,6382,Chess
2019-06-04,5082,Chess
2019-06-05,4387,Chess
2019-06-06,3953,Chess
2019-06-07,4034,Chess
2019-06-08,3688,Chess
2019-06-09,3912,Chess
2019-06-10,4101,Chess
2019-06-11,4018,Chess
2019-06-12,3840,Chess
2019-06-13,3729,Chess
2019-06-14,3937,Chess
2019-06-15,3538,Chess
2019-06-16,3987,Chess
2019-06-17,4396,Chess
2019-06-18,3910,Chess
2019-06-19,3921,Chess
2019-06-20,3788,Chess
2019-06-21,3641,Chess
2019-06-22,3836,Chess
2019-06-23,3967,Chess
2019-06-24,3936,Chess
2019-06-25,4982,Chess
2019-06-26,3933,Chess
2019-06-27,3598,Chess
2019-06-28,3776,Chess
2019-06-29,3680,Chess
2019-06-30,3947,Chess
2019-07-01,3783,Chess
2019-07-02,4316,Chess
2019-07-03,4295,Chess
2019-07-04,4093,Chess
2019-07-05,3838,Chess
2019-07-06,3921,Chess
2019-07-07,4424,Chess
2019-07-08,3974,Chess
2019-07-09,4352,Chess
2019-07-10,4166,Chess
2019-07-11,3856,Chess
2019-07-12,4028,Chess
2019-07-13,4244,Chess
2019-07-14,4811,Chess
2019-07-15,4035,Chess
2019-07-16,4120,Chess
2019-07-17,3868,Chess
2019-07-18,3880,Chess
2019-07-19,3826,Chess
2019-07-20,4013,Chess
2019-07-21,4268,Chess
2019-07-22,4302,Chess
2019-07-23,4059,Chess
2019-07-24,3905,Chess
2019-07-25,3945,Chess
2019-07-26,4125,Chess
2019-07-27,4172,Chess
2019-07-28,4808,Chess
2019-07-29,3971,Chess
2019-07-30,4117,Chess
2019-07-31,4120,Chess
2019-08-01,4526,Chess
2019-08-02,3824,Chess
2019-08-03,3901,Chess
2019-08-04,3763,Chess
2019-08-05,4256,Chess
2019-08-06,3609,Chess
2019-08-07,4125,Chess
2019-08-08,4045,Chess
2019-08-09,3938,Chess
2019-08-10,3866,Chess
2019-08-11,4153,Chess
2019-08-12,4598,Chess
2019-08-13,4291,Chess
2019-08-14,3754,Chess
2019-08-15,3881,Chess
2019-08-16,3789,Chess
2019-08-17,3598,Chess
2019-08-18,4132,Chess
2019-08-19,4536,Chess
2019-08-20,4458,Chess
2019-08-21,4847,Chess
2019-08-22,4404,Chess
2019-08-23,3968,Chess
2019-08-24,3741,Chess
2019-08-25,4312,Chess
2019-08-26,4331,Chess
2019-08-27,4057,Chess
2019-08-28,4596,Chess
2019-08-29,4061,Chess
2019-08-30,3866,Chess
2019-08-31,3720,Chess
2019-09-01,4042,Chess
2019-09-02,4036,Chess
2019-09-03,4396,Chess
2019-09-04,3999,Chess
2019-09-05,3917,Chess
2019-09-06,3679,Chess
2019-09-07,3731,Chess
2019-09-08,4180,Chess
2019-09-09,4363,Chess
2019-09-10,4495,Chess
2019-09-11,4197,Chess
2019-09-12,4583,Chess
2019-09-13,4630,Chess
2019-09-14,4111,Chess
2019-09-15,4266,Chess
2019-09-16,4644,Chess
2019-09-17,4012,Chess
2019-09-18,4244,Chess
2019-09-19,4264,Chess
2019-09-20,3993,Chess
2019-09-21,4412,Chess
2019-09-22,4464,Chess
2019-09-23,4243,Chess
2019-09-24,4331,Chess
2019-09-25,4261,Chess
2019-09-26,4470,Chess
2019-09-27,4088,Chess
2019-09-28,3987,Chess
2019-09-29,4491,Chess
2019-09-30,4806,Chess
2019-10-01,4261,Chess
2019-10-02,4153,Chess
2019-10-03,4180,Chess
2019-10-04,4026,Chess
2019-10-05,3753,Chess
2019-10-06,3887,Chess
2019-10-07,4005,Chess
2019-10-08,4540,Chess
2019-10-09,4566,Chess
2019-10-10,4308,Chess
2019-10-11,4084,Chess
2019-10-12,4205,Chess
2019-10-13,4262,Chess
2019-10-14,4252,Chess
2019-10-15,4228,Chess
2019-10-16,5580,Chess
2019-10-17,4065,Chess
2019-10-18,4199,Chess
2019-10-19,3766,Chess
2019-10-20,4204,Chess
2019-10-21,4033,Chess
2019-10-22,4146,Chess
2019-10-23,4218,Chess
2019-10-24,4017,Chess
2019-10-25,3504,Chess
2019-10-26,3348,Chess
2019-10-27,3455,Chess
2019-10-28,4148,Chess
2019-10-29,3758,Chess
2019-10-30,3932,Chess
2019-10-31,4057,Chess
2019-11-01,3898,Chess
2019-11-02,3767,Chess
2019-11-03,4236,Chess
2019-11-04,4265,Chess
2019-11-05,4169,Chess
2019-11-06,4303,Chess
2019-11-07,4158,Chess
2019-11-08,4021,Chess
2019-11-09,3879,Chess
2019-11-10,4470,Chess
2019-11-11,4137,Chess
2019-11-12,4810,Chess
2019-11-13,4433,Chess
2019-11-14,4176,Chess
2019-11-15,4571,Chess
2019-11-16,4056,Chess
2019-11-17,4566,Chess
2019-11-18,4324,Chess
2019-11-19,4234,Chess
2019-11-20,4271,Chess
2019-11-21,4721,Chess
2019-11-22,3968,Chess
2019-11-23,3991,Chess
2019-11-24,4523,Chess
2019-11-25,4664,Chess
2019-11-26,4412,Chess
2019-11-27,4503,Chess
2019-11-28,4245,Chess
2019-11-29,4224,Chess
2019-11-30,5677,Chess
2019-12-01,4724,Chess
2019-12-02,4990,Chess
2019-12-03,4929,Chess
2019-12-04,5879,Chess
2019-12-05,4607,Chess
2019-12-06,4537,Chess
2019-12-07,4949,Chess
2019-12-08,4575,Chess
2019-12-09,4748,Chess
2019-12-10,4822,Chess
2019-12-11,4723,Chess
2019-12-12,4454,Chess
2019-12-13,3714,Chess
2019-12-14,3912,Chess
2019-12-15,3978,Chess
2019-12-16,4420,Chess
2019-12-17,4993,Chess
2019-12-18,4672,Chess
2019-12-19,4066,Chess
2019-12-20,3656,Chess
2019-12-21,3389,Chess
2019-12-22,3672,Chess
2019-12-23,3599,Chess
2019-12-24,3857,Chess
2019-12-25,4605,Chess
2019-12-26,4458,Chess
2019-12-27,4009,Chess
2019-12-28,4645,Chess
2019-12-29,4585,Chess
2019-12-30,5891,Chess
2019-12-31,4188,Chess
2020-01-01,3959,Chess
2020-01-02,4723,Chess
2020-01-03,4825,Chess
2020-01-04,4393,Chess
2020-01-05,4782,Chess
2020-01-06,4683,Chess
2020-01-07,4529,Chess
2020-01-08,4789,Chess
2020-01-09,4563,Chess
2020-01-10,4065,Chess
2020-01-11,4032,Chess
2020-01-12,4283,Chess
2020-01-13,4416,Chess
2020-01-14,4202,Chess
2020-01-15,4366,Chess
2020-01-16,5435,Chess
2020-01-17,4770,Chess
2020-01-18,4127,Chess
2020-01-19,4465,Chess
2020-01-20,4430,Chess
2020-01-21,4491,Chess
2020-01-22,4460,Chess
2020-01-23,4616,Chess
2020-01-24,4439,Chess
2020-01-25,3838,Chess
2020-01-26,4150,Chess
2020-01-27,4311,Chess
2020-01-28,4524,Chess
2020-01-29,4291,Chess
2020-01-30,4373,Chess
2020-01-31,4028,Chess
2020-02-01,3805,Chess
2020-02-02,4238,Chess
2020-02-03,4612,Chess
2020-02-04,4423,Chess
2020-02-05,4835,Chess
2020-02-06,4458,Chess
2020-02-07,4002,Chess
2020-02-08,3735,Chess
2020-02-09,4475,Chess
2020-02-10,4508,Chess
2020-02-11,4255,Chess
2020-02-12,4310,Chess
2020-02-13,4181,Chess
2020-02-14,3935,Chess
2020-02-15,4141,Chess
2020-02-16,4457,Chess
2020-02-17,4499,Chess
2020-02-18,4571,Chess
2020-02-19,4525,Chess
2020-02-20,4454,Chess
2020-02-21,4111,Chess
2020-02-22,3843,Chess
